Fish #,No.cells,Strain,Stain,Time
229,40,tet2 -/-,mpx,28 hpf
230,25,tet2 -/-,mpx,28 hpf
231,24,tet2 -/-,mpx,28 hpf
232,28,tet2 -/-,mpx,28 hpf
233,13,tet2 -/-,mpx,28 hpf
234,10,tet2 -/-,mpx,28 hpf
235,46,tet2 -/-,mpx,28 hpf
236,16,tet2 -/-,mpx,28 hpf
237,5,tet2 -/-,mpx,28 hpf
238,35,tet2 -/-,mpx,28 hpf
239,23,tet2 -/-,mpx,28 hpf
240,11,tet2 -/-,mpx,28 hpf
241,17,tet2 -/-,mpx,28 hpf
242,19,tet2 -/-,mpx,28 hpf
243,35,tet2 -/-,mpx,28 hpf
244,20,tet2 -/-,mpx,28 hpf
245,36,tet2 -/-,mpx,28 hpf
246,70,tet2 wt/wt,lcp1,48 hpf
247,88,tet2 wt/wt,lcp1,48 hpf
248,92,tet2 wt/wt,lcp1,48 hpf
249,79,tet2 wt/wt,lcp1,48 hpf
250,42,tet2 wt/wt,lcp1,48 hpf
251,68,tet2 wt/wt,lcp1,48 hpf
252,105,tet2 wt/wt,lcp1,48 hpf
253,72,tet2 wt/wt,lcp1,48 hpf
254,54,tet2 wt/wt,lcp1,48 hpf
255,57,tet2 wt/wt,lcp1,48 hpf
256,61,tet2 wt/wt,lcp1,48 hpf
257,91,tet2 wt/wt,lcp1,48 hpf
258,71,tet2 wt/wt,lcp1,48 hpf
259,60,tet2 wt/wt,lcp1,48 hpf
260,48,tet2 wt/wt,lcp1,48 hpf
261,75,tet2 wt/wt,lcp1,48 hpf
262,74,tet2 wt/wt,lcp1,48 hpf
263,72,tet2 wt/wt,lcp1,48 hpf
264,60,tet2 -/-,lcp1,48 hpf
265,62,tet2 -/-,lcp1,48 hpf
266,53,tet2 -/-,lcp1,48 hpf
267,49,tet2 -/-,lcp1,48 hpf
268,42,tet2 -/-,lcp1,48 hpf
269,73,tet2 -/-,lcp1,48 hpf
270,66,tet2 -/-,lcp1,48 hpf
271,63,tet2 -/-,lcp1,48 hpf
272,37,tet2 -/-,lcp1,48 hpf
273,50,tet2 -/-,lcp1,48 hpf
274,54,tet2 -/-,lcp1,48 hpf
275,72,tet2 -/-,lcp1,48 hpf
276,42,tet2 -/-,lcp1,48 hpf
277,58,tet2 -/-,lcp1,48 hpf
278,57,tet2 -/-,lcp1,48 hpf
279,73,tet2 -/-,lcp1,48 hpf
280,31,tet2 -/-,lcp1,48 hpf
281,42,tet2 -/-,lcp1,48 hpf
282,31,tet2 wt/wt,pu.1,36 hpf
283,16,tet2 wt/wt,pu.1,36 hpf
284,23,tet2 wt/wt,pu.1,36 hpf
285,31,tet2 wt/wt,pu.1,36 hpf
286,27,tet2 wt/wt,pu.1,36 hpf
287,41,tet2 wt/wt,pu.1,36 hpf
288,29,tet2 wt/wt,pu.1,36 hpf
289,29,tet2 wt/wt,pu.1,36 hpf
290,21,tet2 wt/wt,pu.1,36 hpf
291,23,tet2 wt/wt,pu.1,36 hpf
292,17,tet2 wt/wt,pu.1,36 hpf
293,35,tet2 wt/wt,pu.1,36 hpf
294,17,tet2 wt/wt,pu.1,36 hpf
295,24,tet2 wt/wt,pu.1,36 hpf
296,43,tet2 wt/wt,pu.1,36 hpf
297,29,tet2 wt/wt,pu.1,36 hpf
298,20,tet2 -/-,pu.1,36 hpf
299,20,tet2 -/-,pu.1,36 hpf
300,24,tet2 -/-,pu.1,36 hpf
301,24,tet2 -/-,pu.1,36 hpf
302,26,tet2 -/-,pu.1,36 hpf
303,17,tet2 -/-,pu.1,36 hpf
304,16,tet2 -/-,pu.1,36 hpf
